Clase,Lugar,Cantidad_Viajes
restaurant,Vecinos Osteria,12
restaurant,Mi Fonda,12
restaurant,Benedettis Pizza,12
restaurant,Los Loosers,12
restaurant,Bufette Chnggon,12
restaurant,Gloria,12
hotel,Hotel Maria Cristina,12
restaurant,Tacos Victoria,12
restaurant,Rio Sella,12
restaurant,Taco Inn,12
restaurant,La Inmaculada,12
hotel,Hotel Niza,12
restaurant,American Express Centurion Club, Terminal 1,12
restaurant,Tortas al fuego,12
hotel,Las Alcobas,11
hotel,Hotel Metropol,11
hotel,Kali Ciudadela,11
restaurant,La Zaranda,11
restaurant,La Chilanguita,11
restaurant,Atardecer en la Condesa,11
hotel,Hotel Regente,11
restaurant,Daruma,11
hotel,Holiday Inn,11
restaurant,Cipriani,11
restaurant,Cuchillero's,11
restaurant,Hong Kong,11
restaurant,Casa Turrent - Cigar Lounge,11
restaurant,Los Dones,11
restaurant,Kabuki Sushi,11
hotel,Hotel Ermita,11
restaurant,Tong Fong,11
restaurant,Taberna del Leon,11
hotel,Hotel Sevilla,11
restaurant,Italiannis,11
restaurant,Lalo!,11
restaurant,Restaurante Las Mercedes,11
hotel,Hotel & Villas Patriotismo,11
restaurant,La Casa de Toño Insurgentes Sur,11
restaurant,Cantares Desayunos,11
restaurant,Cantina Salon Isabel,11
restaurant,Boludo,11
restaurant,Expendio de Maiz Sin Nombre,11
restaurant,Los Equipales,11
hotel,Hotel Plaza Madrid,11
restaurant,La Pitahaya,11
restaurant,Bufete China King,11
restaurant,Restaurante Escuela Zéfiro,11
restaurant,Máximo Bistrot Local,11
restaurant,Don Capitán Del Valle,11
restaurant,Caldos de gallina José María,11
restaurant,Urban Spices Street Asian Cuisine,11
restaurant,Torteria Los Gueros,11
restaurant,Himawari,11
restaurant,Taqueria EI Progreso,11
restaurant,Meson Taurino,11
restaurant,Magda San Ángel,11
restaurant,LA OVEJA NEGRA,11
restaurant,Marcello,11
restaurant,Antolina,11
restaurant,La Cerveceria de Barrio,11
restaurant,taqueria,11
restaurant,Wingstop,11
restaurant,Fonda 99.99,11
restaurant,Nudo Negro,11
restaurant,Koku,11
restaurant,Tortas Super Astro,11
restaurant,Carnitas Rincón Tarasco,11
hotel,Hotel Centra2,11
restaurant,Restaurante Bar Chung King,11
restaurant,Spuntino,11
restaurant,Peltre,11
restaurant,Perros y Burros,11
restaurant,Yemanya,11
restaurant,Macelleria,10
restaurant,Caldos de Callina,10
hotel,Hotel Patria,10
restaurant,Sumo,10
restaurant,Orino,10
restaurant,Lo Spagatto,10
restaurant,Matsu,10
restaurant,Veguísimi Vegan Restaurant,10
restaurant,Kuh - comida suiza,10
restaurant,Coox Hanal,10
restaurant,Taquería El Caifán,10
restaurant,Molina El Pujol,10
restaurant,Chirindonguería,10
restaurant,Yeccan Restaurante / Cervecería,10
restaurant,Taller Gastronómico Nativo,10
restaurant,Burrito Express,10
restaurant,La Herradura,10
restaurant,Restaurant Las Américas,10
restaurant,Montmartre,10
restaurant,La Casa de los Trompos,10
restaurant,IHOP,10
restaurant,Restaurante Bar 4 Mares,10
restaurant,Frenchie,10
hotel,Fiesta Americana,10
restaurant,Chopo's,10
restaurant,Pan y Pasta,10
restaurant,La yeya,10
restaurant,Tortas Robles,10
restaurant,Bom Burger Bistro,10
restaurant,casa de las sirenas,10
restaurant,La Misma Vaca,10
restaurant,Las Delicias,10
restaurant,La Tres 40,10
restaurant,Tres Galeones,10
restaurant,Mercado Independencia,10
restaurant,Taquería La Lupita Ayuuk,10
restaurant,Biwon,10
restaurant,Sabor do Brasil,10
restaurant,Happy Wings,10
restaurant,El sazón de toño,10
restaurant,Fork of BBQ,10
restaurant,Huan Chon,10
restaurant,Humbertos,10
restaurant,Chilakilazos,10
restaurant,Plácido,10
restaurant,Potzollcalli,10
restaurant,Los Gueros de Boturini,10
restaurant,Antojitos El Pelón,10
hotel,Eurostars Hotel,10
restaurant,Toks Villa Latina,10
hotel,Hotel Escala,10
restaurant,Red Lobster,10
restaurant,Taquería Orinoco,10
restaurant,Potzollcalli Picacho,10
hotel,Hotel María Rico,10
restaurant,Asgaya,10
restaurant,Fonda Santa Margarita,10
restaurant,Di-Alex Pastes,10
restaurant,Taqueria Gabriel,10
restaurant,Brindisi,10
restaurant,Cabrera 7,10
restaurant,La Vitrina,10
restaurant,Don Guero,10
restaurant,Taqueria el Jarocho,10
restaurant,El Parnita,10
restaurant,Resturante Vegetariano,10
restaurant,La Casa Rosa,10
restaurant,Fonda Los Cazuelasos de Santiago,10
restaurant,La Cervecería de Barrio,10
restaurant,Antojería,10
restaurant,Chiruedongaria,10
restaurant,El Ocho,10
hotel,One Ciudad de México Alameda,10
restaurant,Don Asado,10
restaurant,El 123,10
restaurant,El Fogon De Los Chintololos,10
restaurant,Curchis Chicken,10
hotel,Casa Blanca,10
hotel,Hotel Beverly,10
restaurant,Frieda Luna,10
hotel,Fiesta Inn Centro Histórico,10
restaurant,Mixli,9
restaurant,Govinda Ram Restaurante Vegetariano,9
restaurant,Los Revolucionarios,9
restaurant,El Mero de la Roma,9
restaurant,Heladería,9
restaurant,Yellow Monkey,9
restaurant,Odün,9
hotel,Hotel Suites Amberes,9
restaurant,Creperie de la Paix,9
restaurant,Maximo,9
restaurant,Los Cerezos,9
restaurant,Costello Chef,9
hotel,Hotel Brasillia,9
hotel,Hotel San Francisco,9
restaurant,YI PIN JU,9
restaurant,Mikasa Ramen,9
restaurant,Non Solo,9
restaurant,Behr Taller de Waffles,9
restaurant,La Parrillita,9
restaurant,Bigos Tacos,9
hotel,Casa Condesa,9
restaurant,Meson Puerto Chico,9
restaurant,Los Tres Cochinitos,9
hotel,Hotel Hipodromo,9
restaurant,Tres,9
restaurant,Pizza Copilco,9
restaurant,Diego Ramen,9
restaurant,Carnitas Parque Luna,9
restaurant,Rancho Tollocan,9
restaurant,Restaurante Shoya,9
restaurant,La RE Pizza,9
restaurant,Pamillada Uruguaya Don Asado,9
restaurant,Centrina,9
restaurant,Harumi Valle,9
restaurant,Ramen Goku,9
restaurant,Bar 18,9
restaurant,El Cuadrilátero,9
restaurant,Italianis,9
restaurant,Rosticería la Fogata,9
restaurant,Burger Bar Joint,9
restaurant,Restaurant Tokio comida japonesa,9
restaurant,La madrina,9
restaurant,Fukusuke Udon,9
restaurant,Yo Taquero,9
restaurant,Kaye,9
restaurant,Musume,9
restaurant,El Kioskito,9
restaurant,Vills Papas,9
restaurant,O'Xacobeo,9
restaurant,Fonda 115,9
restaurant,Jamón J. Jamón,9
restaurant,Vecchio Forno,9
hotel,Hotel Novit,9
restaurant,Chico Julio,9
restaurant,Eno - Roma,9
restaurant,Jardin Chapultepec,9
restaurant,arirang,9
hotel,Hotel,9
restaurant,El Diez Parrilla Argentina,9
restaurant,Lucky Paul's,9
restaurant,La Nonna Fina,9
restaurant,El Kaliche,9
restaurant,Streetfood stall,9
restaurant,Grapelli,9
restaurant,Rioja,9
restaurant,C.O.M.E,9
restaurant,Jamón Jamón,9
restaurant,Pork & Buns,9
hotel,Hotel Milán,9
restaurant,Café la Gloria,9
restaurant,Cluny,9
restaurant,Tacos fonda argentina,9
restaurant,Tacos de Armando,9
restaurant,La Tavola,9
hotel,Hotel Catedral,9
restaurant,Pradera - Ahumador Campestre,9
restaurant,Cantina Salón Rios,9
restaurant,Restaurante « El Tule »,9
restaurant,Kiin Thai-Viet Eatery,8
restaurant,Taisan Restaurant,8
restaurant,Los Tlacoyos desde 1963,8
restaurant,Beer Stop,8
restaurant,O'mandu,8
restaurant,Bahia de Vigo,8
restaurant,El Corral del Chivo,8
restaurant,La Carveceria De Barro,8
restaurant,Mi Cantina,8
restaurant,Julius Pizza,8
restaurant,Un Am Jung,8
restaurant,COBÁ FONDA YUCATECA,8
restaurant,Giancarlo's,8
restaurant,Vecchio Fascino,8
restaurant,Tizne Tacomotora (Roma),8
restaurant,Valencia Express,8
restaurant,Carajillo,8
restaurant,El Tizoncito Tamaulipas,8
restaurant,Pambazo Loco,8
restaurant,Kitchen 6 Gastropub,8
hotel,Emporio Reforma,8
restaurant,u.to.pia,8
restaurant,Puerto Madero Polanco,8
restaurant,Las Horchatas,8
restaurant,El Parián,8
restaurant,Deigo,8
