Id_Viajes_Taxi,Proveedor,FechaHora_Inicio,FechaHora_Fin,Clase,Nombre,Distancia
10459,Mexico DF Taxi de Sitio,2017-04-09 06:43:00,2017-04-09 09:20:00,tree,El Cardenal,108.74309878376785
8706,Mexico DF Taxi de Sitio,2017-06-22 01:44:00,2017-06-22 02:08:00,tree,Palmera,108.58336181114623
3894,Mexico DF Taxi de Sitio,2016-06-28 11:07:00,2016-06-28 11:26:00,tree,Árbol de los Chicles,103.58419632928549
3486,Mexico DF Taxi de Sitio,2016-10-14 09:50:00,2016-10-14 11:33:00,tree,Ahuehuete de Reforma,103.0393158237855
6503,Mexico DF Taxi Libre,2017-03-17 04:24:00,2017-03-17 04:37:00,spring,Fuente Delegacion,102.84124106136704
1530,Mexico DF Taxi de Sitio,2016-11-06 07:31:00,2016-11-06 08:07:00,tree,Árbol de los Chicles,98.15857231436263
1226,Mexico DF Taxi de Sitio,2017-07-15 12:58:00,2017-07-15 01:07:00,tree,Palmera,92.395800577188879
7295,Mexico DF Taxi Libre,2017-05-23 08:07:00,2017-05-23 08:14:00,spring,fuente mujer revolucionaria,83.129583718973848
5576,Mexico DF Radio Taxi,2016-08-12 12:11:00,2016-08-12 01:18:00,tree,Palmera,82.023794884000395
8872,Mexico DF Taxi de Sitio,2017-06-24 03:35:00,2017-06-24 04:03:00,tree,Palmera,77.894236901395175
9206,Mexico DF Taxi de Sitio,2017-06-29 04:26:00,2017-06-29 04:57:00,tree,Palmera,74.165440393307321
9123,Mexico DF Radio Taxi,2017-06-27 09:38:00,2017-06-27 09:55:00,tree,Ahuehuete de Reforma,74.056742993455558
8654,Mexico DF Taxi Libre,2017-06-21 01:32:00,2017-06-21 01:55:00,spring,Fuente,71.191792586555522
9852,Mexico DF Radio Taxi,2017-07-08 02:53:00,2017-07-08 02:59:00,tree,Árbol de los Chicles,70.898187217471857
4675,Mexico DF UberX,2016-12-24 12:33:00,2016-12-24 01:20:00,spring,Fuente  decorativa a tizayuca,67.608957581007445
8706,Mexico DF Taxi de Sitio,2017-06-22 01:44:00,2017-06-22 02:08:00,tree,Palmera,64.657780319233609
9290,Mexico DF Taxi de Sitio,2017-06-30 12:09:00,2017-06-30 12:30:00,tree,Palmera,60.512973509824285
7550,Mexico DF Taxi de Sitio,2017-01-17 09:07:00,2017-01-17 09:56:00,spring,fuente mujer revolucionaria,57.403959095367277
1422,Mexico DF Radio Taxi,2017-07-20 03:03:00,2017-07-20 03:43:00,tree,Palmera,57.134739899260722
6502,Mexico DF Taxi Libre,2017-03-17 04:20:00,2017-03-17 04:30:00,spring,fuente mujer revolucionaria,55.858677033793107
8762,Mexico DF Radio Taxi,2017-06-22 09:33:00,2017-06-22 10:18:00,tree,Ahuehuete de Reforma,49.89827477064118
1422,Mexico DF Radio Taxi,2017-07-20 03:03:00,2017-07-20 03:43:00,tree,Palmera,48.741831186526838
4875,Mexico DF Taxi de Sitio,2016-12-30 07:24:00,2016-12-30 07:26:00,tree,El Cardenal,44.12022346590544
6664,Mexico DF Taxi de Sitio,2017-03-22 07:37:00,2017-03-22 09:43:00,tree,El Cardenal,42.381884216200099
8585,Mexico DF Radio Taxi,2017-06-20 09:51:00,2017-06-20 10:02:00,tree,Ahuehuete de Reforma,26.313353846346473
9029,Mexico DF Radio Taxi,2017-06-26 05:07:00,2017-06-26 05:38:00,tree,Ahuehuete de Reforma,20.472584319908062
4431,Mexico DF Taxi de Sitio,2016-11-12 08:56:00,2016-11-12 09:00:00,water,Canal Nacional,1.2856721904298873
