Nombre_Carretera,Cantidad_Viajes
Súper Avenida Lomas Verdes,8
Calle Flor de Delfino,8
Calle Irupé,8
Calle Perpetua,8
Calle 33,8
Calle Manuel Acuña,8
Calle 29,8
Cerrada Recreo,8
Calle Sauce,8
Cerrada Lázaro Cárdenas,8
Cerrada Tigre,8
Cerrada Primera Francisco Villa,8
Calle Estaño,8
Tercera Cerrada Técnicos y Manuales,8
Avenida Doctor Antonio Delfín Madrigal,8
Camino a Nativitas,8
Cerrada Chabacano,8
Avenida Popocatépetl,8
Calle Abeto,8
Cerrada Pensamiento,8
Calle Juan Escutia,8
Calle Nicolás San Juan,8
Callejón del Fresno,8
Calle Norte 3,8
Calle Cuernavaca,8
Calle Dalia,8
Andador Hilda,8
Boulevard Manuel Ávila Camacho,8
Avenida Puerto México,8
Calle Salomón,8
Calle Capulines,8
Calle Quetzalcóatl,8
Calle Río Balsas,8
Privada Río Balsas,8
Calle Hortensia,8
Calzada Chabacano,8
Calle Pólvora,8
Calle República de Uruguay,8
Boulevard Miguel de Cervantes Saavedra,8
Calle Sauces,8
Calle San Juan de Dios,8
Calle Licenciado Lázaro Pavia,8
Boulevard de Los Aztecas,8
Calle Pedregal,8
Calle Manuela Sáenz,8
Calle Doctor Balmis,8
Calle Pirules,8
Andador Río de Guadalupe,8
Andador Diego Rivera,8
Calle Ceres,8
Calle Encinos,8
Cerrada Primera,8
Calle Camelia,8
Calle Atlante,8
Ángel Urraza,8
Antigua Vía a la Venta,8
Calle Cachopa,8
Calle Tacuba,8
Prolongación Mariano Abasolo,8
Calle Moras,8
Avenida de los Apaches,8
Avenida Ribera de San Cosme,8
Calle 11,8
Calle Miguel Alemán,8
Calle Mier y Pesado,8
Avenida Bosques,8
Calle Giovanni Sassoferrato,8
Calle Tulipán,8
Avenida Ferrocarril San Rafaél Atlixco,8
Calle las Cruces,8
Avenida Tórtolas,8
Calle Emilio Carranza,7
Calle Agustín Melgar,7
Calle Opichen,7
Calle Agricultura,7
Calle Donatello,7
Calle Chilpancingo,7
Avenida Wilfrido Massieu,7
Calle Articulo 123,7
Pasaje Polanco,7
Calle Leibnitz,7
Calle Clavel,7
Calle Luis Caracci,7
Calle Sur 109,7
Calzada Guillermo Prieto,7
Privada Lago Gascasónica,7
Calle Borbonesa,7
Avenida Oriente 172,7
Calzada de los Tenorios,7
Cerrada Fray Bartolomé de las Casas,7
Avenida Porfirio Díaz,7
Calle Alcanfor,7
Calle Doctor J. Navarro,7
Calle Hopelchén,7
Calle 4 Jesús Rodríguez,7
Calle Licenciado Luis Manuel Rojas,7
Calle de las Torres,7
Calle Nube,7
Calle Chemax,7
Calle Plaza Miguel Hidalgo,7
Calle Madreselva,7
