Punto_Interes,Cantidad_Viajes
Monumento al Mestizaje,3
Consultorio Comunitario,3
Claudio Pollos,3
Cocina central 1812,3
Nevería Roxy,3
Cinemex,3
Cafetería Azul de Coyoacán,3
Centro De Evaluacion Camacho Extreme,3
Nuvo sushi,3
Centro de salud T-III San Francisco Culhuacán,3
Chaneke,3
Abarrotes "Paty",3
Peluqueria Fresno,3
Boicot Café Polanco,3
Neurólogo - Neurologist,3
brassi,3
Quebracho,3
Carnicería "La Super",3
Mercado de Jamaica,3
Potzolcalli,3
Lumen Papelería,2
Wings Army,2
La Jaliscience,2
Cilegio del Alba,2
Bordados del Ecuador,2
Ecobici Nezahualcóyotl / Isabel la Católica,2
Carwash Deluxe Roma,2
Pulqueria Los Insurgentes,2
Margarita Maza Parada,2
Wing's Army,2
La Barbería Shop and Spa,2
Cinemex Tenayuca,2
BMW San Antonio,2
Ecobici Durango / Salamanca,2
Cantina Buenos Aires,2
punto y aparte,2
La Tizona (mariscos de carreta),2
Vittorius,2
La Belga,2
Consultorio De Otorrinolaringologia,2
Camino a Comala: Café de especialidad,2
Dulce Patria,2
Casa de mi Tita,2
Ramen-ya Rokai,2
Mercado IsabeLa,2
Veterinaria Tacuba,2
Jardín de la Triple Alianza,2
Comercio Al Por Mayor De Productos Farmaceuticos Sin Nombre,2
Cantina La Lupita,2
El Che,2
Centro De Actividad Social Infantil,2
Rancho Tollocan,2
Monumento a Francisco Zarco,2
Vidal Castañeda y Nájera,2
Joyería de la Fuente Bustillo,2
Comex,2
Carmelo,2
Dental M,2
CE-672 José María Velasco - Damas,2
Popeye Famous Louisiana Chicken,2
Mikasa,2
Tortas Hector,2
Karla,2
Coccinelle,2
Bodega La Purísima,2
Don Maderito,2
Cecati 25,2
Plácido,2
La Artesa,2
Picorete Salivón,2
L´Entrecote - Le Relais de Venise,2
El Caballito,2
Casa Fuji,2
Desperdicios Industriales Garduño,2
Cedim,2
Restaurante Shoya,2
La Vainilla,2
Pollería Camper,2
Hotel Los Cedros,2
Ecobici Nuevo León / Ozulama,2
Aeromexico,2
Dilicia,2
Brescia's,2
Rioja,2
Las Ramonas Antojitos Mexicanos,2
Polleria Luis,2
Hotel Montecarlo,2
Ecobici Oaxaca / Puebla,2
Abarrotes "Los Peques",2
Consultorio Dental Care Center,2
Cachito Mio,2
Salon de usos múltiples,2
Lety,2
Pollos,2
Hotel Rey,2
Ecobici Emilio Dondé / Av. Balderas,2
Abarrotes "Rubí",2
Costello Chef,2
Arooga's,2
Santa Coleta,2
Los Girasoles,2
Pollos Altavista,2
Hotel Roble,2
Ecobici Reforma / Praga,2
Ahumados Pelicano,2
Coyoacán,2
Bizarro café,2
Odün,2
La Espiga,2
Patita La Vaca,2
Hotel El Salvador,2
Ecobici Álvaro Obregón / Mérida,2
Al Carbon Torreon,2
Cochinita Pibil El Chel,2
Bahía Capital,2
One Ciudad de México Alameda,2
Importadora Steve Madden México,2
Ortopedia Flores,2
Gorditas Mixcoac,2
Don Capitán Del Valle,2
Arandas Taquería,2
Chito's,2
Autosafe Blindajes,2
O'Xacobeo,2
Instituto Ernest Hemingway,2
Nina Ferre,2
Gandhi Oportunidades,2
DHL Pedregal de Santo Domingo,2
Arcana Moda,2
Cinépolis Portal Churubusco,2
Banregio,2
Pakmail,2
Hair Studio Lucio,2
Pane en Via,2
Escuela Primaria Maestros Mexicanos Turno nocturno,2
Diana Cazadora,2
Bacanal,2
Centro Deportivo Marcial Kung Do Lama,2
Baveno,2
Panepis,2
HM Hamburguesas,2
Miguel Petacas,2
Expendio de Bimbo,2
Cuatro20,2
Club Hipico San Francisco,2
Burger & Joch's,2
ABurger,2
PILARES Electricistas,2
Hombre de Paz,2
Monumento a José Martí,2
Expendio de Maiz Sin Nombre,2
Deportes Badillo,2
Cnci Cuajimalpa,2
Casa Franca,2
Aùna Cafe,2
Mosquito,2
Honda Coyoacán,2
Mano Santa Mezcal, Av. Insurg,2
Escuela primaria "Profesor Cecilio Mijares Poblano",2
d'europe Coyoacán,2
Comedor comunitario Digna Ochoa,2
Bancomext,2
Actinver - Banco de Inversiones,2
Museo Casa de la Memoria Indómita,2
Hostel Amigo Suites Downtown,2
Mar Azul,2
Especialidades Medicas Estrada,2
Billar,2
Consultorio De Especialidad Dental,2
Black& White,2
American Express Centurion Club, Terminal 1,2
Naked City,2
Hotel Alpes,2
Nacional Monte de Piedad,2
