Punto_Interes,Cantidad_Viajes
Río de la Plata,1
Chop Chop,1
Papelería ABC,1
Centro Cultural Octavio Paz,1
niddo dresde,1
Pollos Elkar,1
Papeleria Gris y Ariculos deportivos,1
Salon Sarita,1
Tianguis de los Jueves,1
Cine Tonalá,1
Papeleria e Internet,1
Carnitas Parque Luna,1
Nike,1
Primaria Pedro Henriquez Ureña,1
Papelería Magli,1
Quesadillas y Gorditas "Eli",1
Tienda MAP Polanco,1
Colegio Jean Piaget,1
Papelería Gamma,1
Casa Olivo,1
Nuevo Teatro República,1
Productos Naturales "del Rocío",1
Paradero Conocido,1
Quesadillón loco,1
Tintorería La Profesional,1
Cinépolis Plaza Cuitláhuac,1
Parque Galería,1
Centro Social y Deportivo "Benito Juárez",1
Nujha,1
Rayo,1
Parque Escandon,1
Servicios Hematologicos Especializados,1
Terré,1
City Santa Fe,1
Parque Tarango,1
Charco de las Ranas,1
Meson Taurino,1
Recopilacion De Reciclado Bodega San Antonio,1
Parque Miraflores,1
Sheraton María Isabel,1
Texas de Brasil,1
Clinica Imss,1
Porco Rosso Roma,1
Chevrolet Insurgentes,1
Mexicanas Anónimas Forjadoras de la República,1
Renault Insur,1
Pastelería Copilco,1
Secretaría del Trabajo y Previsión Social,1
Rolls Royce,1
Clinica Veterinaria del Dr. Guerrero,1
Pozolería Jalisco,1
Hotel Villas,1
Mezcalería Los Amantes,1
Ramen Goku,1
Benedetis Pizza,1
Son de Sirloin,1
Rosticeria Molinos,1
Club De Tens Axomiatla,1
Pradera - Ahumador Campestre,1
Hyundai Polanco,1
Miguel Hidalgo y Costilla,1
Prosecco,1
Bernard,1
Starwings La Roma,1
Telas Parisina,1
Colegio Medina,1
Primaria Cuauhtemoc Turno Vespertino,1
Inspir@net,1
Miguelito,1
Tecno Farmacias,1
Bibliofilia,1
Tokyo Rose,1
Telefónica Movistar,1
Colegio Nacional de Educacion Profecional Tecnica,1
Providencia,1
iShop Plaza Carso,1
MisMezcales,1
Teikit,1
Biblioteca Manuel Sandoval Vallarta,1
Tortería y Taquería,1
Telefono Publico Telmex ladatel,1
Colegio Vicente Guerrero 09ppr1591c,1
Salon Corona,1
Janus,1
Monumento al Noble Pueblo de México,1
Tianguis de Topito,1
Biblioteca Teniente Coronel Rodolfo F. Sánchez Tagle,1
Tlapalería Castillo,1
Telmex,1
Compra Venta De Fierro Viejo,1
Salon de Eventos Venecia,1
Fuego Nuevo,1
Mujer Chimenea,1
Taquería Green House San Pedro,1
BMW Motorrad,1
Todo de Cartón,1
Suites del Parque,1
Compra Venta De Servicio De Desperdicios Industriales,1
San Felipe de Jesus,1
Fuente de sodas El Camellito,1
Tacochino,1
Taquería La Michoacana,1
Bom Burger Bistro,1
Terraza Tacuba Brewery,1
Super byli,1
Consultorio dental Endoden,1
Rock Solid,1
Gandhi Coyoacán,1
Super Q,1
Taller Mecánico,1
Auditorio Simón Bolivar,1
Tecate,1
Super Farmacia La Nueva,1
Consultorio Dental Ideal Dent,1
Sankalpa,1
Gffjv,1
Toks Las Águilas,1
Tlahui- Ollin,1
Autos Reforma,1
Television Products Retail,1
Tamales DeliRox,1
Iris,1
Puente "Japones" Masayoshi,1
Gold Cut,1
Tortas Coyoacán,1
Toks Arboledas,1
Ava,1
Terma,1
Turco's Coffee,1
iShop Mixup,1
Puesto de revistas,1
Guadalajara,1
Tortas El Estudiante,1
Torres Corzo,1
Avanti,1
Terraza 95,1
Unidad de Medicina Familiar 6 Merced,1
Jardín de niños Yollalia,1
Pull & Bear,1
Guess,1
Totoquihuatzin,1
TORRES DENTAL,1
Bahia de Vigo,1
Terraza Botanero,1
Unidad de Medicina Familiar 9 San Pedro Pinos,1
José Vasconcelos,1
Punta del Cielo,1
Hanson Pieles,1
Tienda de fábrica Yale,1
Sol,1
Bamboo Beaute,1
Taller "El campeón",1
Uniformes,1
Jurisdicción Sanitaria Magdalena Contreras,1
Quality Bakery,1
Hebridik Dental,1
Tintoreria San Antonio,1
Spa,1
arirang,1
Takamura,1
Uniformes y disfraces Maya,1
Kin Kanik,1
Quane,1
Heladería,1
Tlacoyos Milenarios,1
Sport World,1
Armani Exchange,1
Taqueria El Gorilon,1
Valeria colegio,1
Kinder,1
Querencia,1
Hospital Veterinario 24 hrs,1
Tlapalería la Piramide,1
Sports World Félix Cuevas,1
Arte Dental,1
Tacos don Pedro,1
Vecchio Forno,1
La Casa de Juan Juan,1
Ramen House,1
Hospital vicentino y casa hogar,1
Tlapaleria y ferretería Acueducto,1
Sq Avanzada,1
Asador del Gaucho,1
Tacos EL Taurino,1
Urban Spices,1
La Casa de los Bisquets,1
Reciclado De Desperdicio Industrial,1
Escuela De Manejo Mexico,1
Telegrafos,1
Sukiya,1
Alcaldía Coyoacán,1
Tacos Truck,1
Urologia multidiciplianaria,1
Hotel Guadalajara,1
Pizza Jazz,1
Escuela Primaria Alvaro Obregon,1
The Black Rabbit Coffee Shop,1
Super Pollo,1
Alma Negra Café,1
Swarovski,1
Villa Condesa,1
Hotel María Condesa,1
Pizzería Copilco,1
Escuela Primaria Efrain Huerta,1
The Point,1
Taco Game Narvarte,1
Ángel de la Independencia,1
Taco Titla,1
Zapaterías "Elite",1
Hotel Mexico Mexico nuevo,1
Planchado,1
Escuela Primaria Felipe Carrillo Puerto,1
Tamales y Antojitos Rosy,1
Tacos de Canasta La bicicleta,1
Animal Home,1
Super Extra,1
Zócalo Central,1
Hotel Templo Mayor,1
Policía,1
Escuela Primaria Hidroeléctrica y Cupatitzio,1
Taquería "El Kaliman",1
Tacos Alvaro Obregon,1
"El Triciclo" - Cómida Rápida,1
Super Pharmacy,1
Zona de chacas y puesteros,1
Hotel Villa Amanecer,1
Peterson Schools,1
Escuela Secundaria 166 Alfonso Reyes Turno Vespertino,1
Taquería "La Tapatía",1
Yo Taquero,1
Abarrotes "Estrella",1
La Selva Café,1
Zoo hospital,1
Hotel Villas Coloniales,1
Squash Club Delta,1
Escuela Superior de Música,1
Zapateria 2 Mafer,1
Zapamundi,1
Abarrotes "Mimis",1
La Strega,1
Yug Vegetariano,1
Hospital Materno Infantil Inguarán,1
Stars Fushion Salon De Baile,1
Escuela Secundaria Diurna Jose Guadalupe Posada 105 Vespertino,1
Zona de Juegos,1
Zapateria D'Eva,1
Abarrotes La Pilarica,1
Les Petits,1
west elm,1
Hospital Pediátrico Iztapalapa,1
Sofamex,1
El Viejo Camilo,1
Walmart Supercenter,1
Van gogh,1
Abarrotes La Popular,1
La viejita Sabia,1
Wu's,1
Hostal Historico,1
Sólo Dios,1
El Villamelón,1
Whitr smile,1
Vanessa,1
Abarrotes Luna,1
La Voragine,1
Volcana Lugar Común,1
Hostal Regina,1
Sonora Grill - Félix Cuevas,1
El Zacatito,1
Yale,1
Zentralia,1
Café Villarías,1
Las Cazuelas,1
Volkswagen Dalton Copilco,1
Hostel 333,1
SD Dental,1
Embassy of New Zealand,1
Yardis,1
Zinco Jazz Club,1
Casa Hevia - Correo Español,1
Las Tres Gracias,1
Volkswagen Santa Clara,1
La Fondue,1
seven eleven,1
Enhorabuena,1
Volkswagen Cresta Narvarte,1
Unidad de Medicina Familiar 39 Cfe. Xola,1
CE-667 Hermes - Mosqueta,1
Le Tachinomi Desu,1
C.O.M.E,1
Hotel Diligencias,1
Simon Bolivar,1
Escuela Alarid,1
Virgen en lo alto,1
traspatio,1
celcum language school,1
Liceo Mon Felic,1
Cacha de usos multiples,1
La C-Zina,1
Taquería Los Parados,1
Farmacia Especialidades,1
Vito Alessio Robles,1
Trendas,1
Centro De Acopio Rvc,1
Lithuanian Honorary Consulate,1
Cafe de la Paz,1
La Nacional,1
Taqueria los Pericos,1
Essenzia Española,1
Villa de Canes,1
Tres Galeones,1
Centro Integral De Atención Podológica,1
Los Choko's,1
Bros,1
La Pascadería Fish Restaurant,1
Taquería Orinoco,1
Estética alta peluquería,1
Ver de Verdad,1
tuux kabin ejercito,1
Carniceria Lupita,1
Los Panchos,1
Burgueris,1
La Glorieta,1
Tamaleria y Churros,1
Estética unisex "Alan & Alex",1
United Colors of Benetton,1
Uamiki,1
Carnicería Silvia,1
Little Caesar's,1
Bocadillos Royalty,1
La Goma Feliz,1
Taqueria El Chaparrito,1
Estética Unisex D'Vegas,1
Universidad Interamericana para el Desarrollo,1
Unas y mas,1
Carnitas,1
Liverpool,1
Birria y tacos Santa Bárbara,1
La Joya Zapaterias,1
Tabasco,1
Ezequiel A. Chávez,1
Vagabond,1
Vinos y Licores La Morena,1
Carnitas Jerrys,1
London Blue,1
Birrieria Y restaurante Doña Carmelita,1
La madrina,1
Tacos Chupacabras,1
Farmacias Ecológicas,1
Tres,1
VOID,1
Casa Condesa,1
La Hallaca,1
Benedetti's Pizza,1
Massimo Dutti,1
Tacos Manolo,1
Ferreteria,1
Un Am Jung,1
Wabi Sushi,1
C@fenet,1
La Hummisiya,1
Bentle Polanco,1
Maxine,1
Taquitos Frontera Grill,1
Ferretería La Esmeralda,1
El comal de mis amores,1
Wan Wan Sakaba,1
Café en Clave,1
La Fermatta,1
Calzado Florencia,1
Médicos militares,1
Tetrarca,1
fine tube and technology,1
El convite,1
WiBike's,1
Café Punta del Cielo,1
La Puerta del Sol de Coyoacán,1
Cantina El Sella,1
Medina Soteno, Eleazar Arturo,1
Taquería La Paz,1
Fonart. Tienda de artesanias,1
Ecobici Roma / Dinamarca,1
Woaxaca Wings,1
Café Tacobar,1
La margarita,1
Cantina Salon Isabel,1
Memorial de Víctimas de la Violencia del Estado,1
Taquería Los Cocuyos,1
Fonda Argentina,1
El Ave Fénix,1
Wooyeon,1
Buffet Chino $50,1
La Muralla China,1
Canto de Sirenas,1
Mercado de 100,1
Tienda De Pollos,1
Fonda El Rancho,1
El Breve Espacio,1
Xochimilco 꽃시장,1
Audi,1
La Nueva Generación,1
Café Son, Son de Café,1
Mercado de San Cosme,1
Tienda de Ropa "Casual",1
Fonda Santa Margarita,1
El Cafe-to,1
Facultad de Filosofía y Letras - Adolfo Sánchez Vázquez,1
Banda de Moebius,1
La Panera,1
Cafetería Dany,1
Mercado La villa,1
Tintorería Marlo,1
Foro Canal 23,1
El Globo Balbuena,1
Facultad de Odontología,1
Bazar Balderas,1
Ignacio López Rayón,1
Carnitas "Chela",1
Mexicano Bar,1
Tintoreria Max,1
Ma' Maria Pizza,1
El Guarache,1
Fajas Colombianas Kisha,1
Centro Para El Estudio Del Sistema Urinario Umd,1
iza,1
Caldos de Callina,1
Mia Planchaduría Stop,1
Tlaco,1
Maia Hair & Spa,1
El Huequito,1
Estación sur de Bombreos, Javier Perez Olagaray,1
Centro Trilingue de Estudios Universitarios,1
Italiann'is,1
Casa de la Cultura Los Héroes Tecámac,1
Micheburguers,1
Tienda De Frutas,1
Maison de Famille,1
El Japonez,1
Estatua del General Felipe Ángeles,1
CFEMático,1
Jardín de Niño "William-shakespeake",1
Casa Q,1
Microteatro México,1
Tortas Jorge,1
Maratea Mx,1
El Moro,1
Escuela Secundaria "Emma Godoy",1
Chelalitas,1
Jardin De Niños Alfred Binnet,1
Antojitos Mexicanos Carmelita,1
Miga Café,1
Toks Aragón,1
Mariscos Gourmet,1
El Negrito,1
Escuela Secundaria 235 José Clemente Orozco,1
Cinemex Miguel Ángel de Quevedo,1
Jardin De Niños Tonali Turno Vespertino Cct 09djn0900p,1
Apolo,1
limosneros,1
TOMS,1
mercado rastro,1
El Polanquito,1
Farmacia Servicio Médico,1
Chiquitito,1
Jesús Reyes Heroles,1
Aponte 82,1
Little Caesars Pizzas,1
Tom's Leather Bar,1
Merendero,1
el pollo feliz,1
Farmacia Weser,1
Chiquitito Café,1
Joselo,1
Appcom,1
Los de Pescado,1
Tortas,1
Merendero Biarritz,1
El Rincón Gourmet pizza a la leña,1
Farmacias UNION de descuento,1
Clinica De Especialidades Dentales,1
Julio Prieto,1
Arrival Gate 3,1
Los Jarochos,1
Trocitos Mix,1
Maverick,1
El Rincón Zapatista boutique,1
Farmacia "Saul",1
Clínica Eugenio Sue,1
Justo Sierra Partida,1
Astral Freaks,1
Los Manantiales,1
Tortas Suizas Los Gemelos,1
Max metri 12,1
El Samurai,1
Farmacia Lupita,1
Colegio Hebreo Tarbut,1
JV Clínica y Estética Veterinaria,1
ATENCIÓN AL TURISTA,1
Los Re-tacados,1
Tortas Y Hamburguesas,1
Medicina Tradicional,1
Eno - Roma,1
Farmacia Perla,1
Colegio Hernán Cortés,1
Kiev,1
Auto Baño Formula-1,1
Las Horchatas,1
Trattoria Giacovanni,1
Labor de Belleza,1
Escuela Primaria María Adelina Flores Morales,1
Guisando Ando,1
COLEGIO MONARCA,1
La Boheme,1
Autolavado "Los Moyas",1
Legedarios,1
Zapateria Fabiani,1
Laboratorios Médicos El Chopo,1
Escuela Primaria Medico Bernardo Sepulveda Gutierrez,1
H&H,1
Cocina Conchita & Departamento,1
La Carveceria De Barro,1
Autolavado Exprés a presión,1
Leona Vicario,1
Zapaterias La Joya,1
Loose Blues,1
Escuela secundaria federal número 283 "Leyes de Reforma",1
Hacienda de Cortés,1
Conalep Iztapalapa III,1
La Cerveceria de Barrio,1
Biblioteca Pública Japón,1
Libreria El Gran Remate,1
Zapaterías La Ribera,1
Los Cocuyos,1
Escuela Secundaria N° 42 Para Trabajadores "Jesus Romero Flores",1
FARO Cosmos,1
Consultorio Dentales Del Sector Privado Sin Nombre,1
La Coyoacana,1
Bicicletas Casa Gloria,1
Librería El Hallazgo,1
Zapaterías Morelos,1
Los guisados de Copilco,1
Escuela Secundaria No. 28 Agustín Melgar,1
Glisse Music,1
Consultorio Grupo Pediatrico,1
Farmacia Cove,1
bière artisanal,1
Librería Madero,1
Unidad de Medicina Familiar 11 Peralvillo,1
Los sopes,1
Escuela Secundaria No. 4 Moisés Sáenz,1
Fiesta Inn Periférico Sur,1
Consultorio Periferico Corpus Christy,1
Farmacia Cuauhtémoc,1
Baltra,1
La RE Pizza,1
Unidad de Medicina Familiar 44 La Escalera,1
Lucero de mis Noches,1
Escuela Secundaria Técnica n°47 "Juan de Dios Batiz",1
Flor de Lis,1
Contadero dental,1
Escuela Mexicana de Manejo,1
BanBajio,1
La Rifa,1
Unidad de medicina física y rehabilitación norte,1
Las Quekas Factory,1
Escuela Secundaria Técnica No. 7 "José Guadalupe Posada",1
Fonda,1
Contramar,1
Escuela Primaria Doctor Miguel Silva,1
Barrio Tonala,1
Locomotora TCC 2,1
Vidrios y Aluminios,1
Le Gourmet,1
Ferring,1
Fonda Cobá,1
El Paraiso,1
Escuela Primaria Jonas Edward Salk,1
Abarrotes "La gitana",1
Long Du,1
Vinos y licores Sofismart,1
Le pain cotidien,1
Farmacias Santa Teresa,1
Fonda Los Cazuelasos de Santiago,1
El Rey de Boturini,1
Escuela Primaria Profesora Concepción Patiño Turno Matutino Cct09dpr2297b,1
Abarrotes Benja,1
Los Amigos,1
White & Bright,1
Leandro Valle,1
Fat Boy Moves,1
Fork of BBQ,1
El Gato Literato,1
Estetica Unisex Norma,1
Abarrotes Pack-x-Press,1
Guaymitas,1
Wichitos,1
Lemur,1
Favor El Moreno,1
Foro de las Artes,1
El Naranjito,1
Eugenia,1
Abarrotes y Cremeria Sarita,1
Hamburguesas al Carbón,1
Wings Puerto Aereo,1
Librería Malinalli,1
Ferretería Díaz Zimbrón,1
Foro del Sótano,1
El Ángel de la Seguridad Social,1
Facultad de Odontología - Posgrado,1
Abilita. Medicina de Rehabilitación Física y Ortopedia,1
Harumi Valle,1
Wyndham Garden,1
Lisso Centro de Planchado,1
Ferreteria Sakai,1
Foro37,1
Ecobici Morelos / Abraham González,1
Falafelito,1
Abts. La Juquilita,1
Hermanos de La Hoja,1
Yesenia,1
Little Ceasears,1
Farmacia G.I.,1
Francisco Manuel Sánchez de Tagle,1
Ecobici Popocatépetl / Av. Ámsterdam,1
FAR+CIA,1
Andrés Quintana Roo,1
Giant,1
Hotel Plaza Madrid,1
Locomotora 67,1
Farmacia GYG,1
Frutas,1
D'Liz,1
El Siciliano,1
Animal Care Center,1
Gran Café Victoria,1
Hotel Real del Sur,1
La Ruta,1
Farmacia Unión,1
Fuente D Venustiano Carranza,1
Depósito Los Amigos,1
El Sótano,1
Airport Information,1
Grand Home,1
Hotel Regente,1
La Veracruzana,1
Farmacia Victoria,1
Fuente de los Coyotes,1
Dr Alcantara,1
El Tizoncito,1
193,1
Grupo oncológico Lomas Altas,1
Hotel San Francisco,1
La Vid Argentina,1
Farmacias Capuchinas,1
Gemalto Polanco,1
Dragonejo,1
El Tizoncito Tamaulipas,1
1944,1
Gardela,1
Huaraches D'10,1
La Terazza,1
Farmacias del Dr. Ahorro,1
El peladito,1
Dunkin',1
eLoteria,1
"Morales",1
Farmacias Farmapronto,1
Inframundo,1
La Finca,1
Fantástico Cómics,1
El Rincón de Viveros,1
Dunosusa,1
Embajada de Sudáfrica,1
1/２LUM,1
Ferrequihua,1
Instituto Alin,1
La Nueva Excelencia,1
FarmAbel,1
El Gnomo,1
D'Vega,1
El Lugarcito,1
Crazy trunk,1
Farmacia del Mercado,1
Instituto De Belleza Nueva Imagen,1
La Paella de Domingo,1
Galería de Arte Mexicano GAM,1
El Grillo,1
Delicias de Líbano,1
El Mesón de Cheny,1
Dentista - Odontopediatra,1
Flavourite,1
Instituto de Ciencias del Mar y Limnología,1
La Polar,1
Gary Tortas,1
El Olvidado,1
Delisa,1
Embajada del Paraguay,1
Dr Barojas y Oftalmólogos Asociados,1
Fiat,1
Hotel Lira,1
Kfe-Tin Gourmet,1
Gladiador de Borguese,1
El Bajio,1
Deluxe Bar of Sin,1
Esca,1
Ecobici Álvaro Obregón / Tonalá,1
Fonda El Albur,1
Hotel Metropol,1
Kiosko legaria,1
Fruti Tortas,1
El Jaibol,1
Denisse,1
El Rincón Zapatista,1
Ecobici Colima / Jalapa,1
Fonda Fina,1
Hotel Milán,1
Kabuki,1
Fuente Cellini,1
El Jamil,1
Dental Clinic,1
FunParty,1
Ecobici Hamburgo / Génova,1
Forte,1
Hospital Veterinario de Medicina Preventiva,1
Kaffee Berlin,1
Fishers,1
El Laberinto,1
Corazón de Maguey,1
FromLab,1
Ecobici Independencia / Marroquí,1
El Portón Azcapotzalco,1
Hospital San Angel Inn,1
Juegos Infantiles,1
FlowSuites WTC,1
El Molino,1
Corporativo Buró de Crédito,1
Fortunata,1
Ecobici Liverpool / Dinamarca,1
El Éxito,1
Frutería y Verdulería,1
Juegos y columpios,1
Guillermo Ma Mon Álvarez,1
Embajada de España - Oficina Económico y Comercial,1
Cuerpo de Juárez,1
Gin Gin,1
Ecobici Londres / Sevilla,1
El Fénix del Centro,1
Fuente Colorida,1
La Casa de los Marcos,1
Hackett,1
Embajada del Líbano,1
D' Europe,1
Giorgio's Pizzas,1
Ecobici Parque España / Sonora,1
El Jardín Interior,1
Fuente del Pegaso,1
La Botica,1
Hamburguesas Karla y Tere,1
EMIR CONDESA,1
Daniel Cosío Villegas,1
GNC Health Store,1
Creperie de la Paix,1
El Pajaro,1
Gaby's Air Bnb,1
Tianguis La Lagunilla Domingos,1
GoTan,1
El Roco,1
del Ahorro,1
Galería de Arte "Casa de las Bombas",1
D Talles para el Hogar,1
Elefante,1
Frenchie,1
The Cheesecake Factory,1
Greenway Restaurante,1
El sazón de toño,1
Fanny,1
Grupo Dental Alebrije,1
D' Tin Marin,1
Elkar Pollo,1
Fresh House Salads,1
Toboe Café,1
Holiday Inn Express México Aeropuerto,1
El Sótano de los Niños,1
Farmacia Uruapan,1
Hertz,1
da Fonda,1
El Rincón Gourmet,1
Gante,1
Tommy Hilfiger,1
Hospital Azura Centro,1
Escuela Primaria Mariano Abasolo Matutio,1
Fix Truper,1
Hidalgo,1
Consultorio veterinario,1
Erawan,1
George,1
Tortas La Española,1
Hestia Cafetería Brunch,1
Escuela Primaria Profesor Jesús Silva Herzog,1
Fonda 115,1
Hit & Run,1
Correos de México,1
Escuela De Manejo Angeles,1
Giornale,1
Trashcan,1
Haru Maki,1
Escuela Primaria Profesor Pedro Loredo Ortega,1
Ferretería Ruiz,1
Horus,1
Consultorio Medico Y Especialidades,1
Facultad de Química - Anexo E,1
Grela Cafe,1
Unidad de Medicina Familiar 120 Zaragoza,1
Hostel Home,1
Escuela mexicana del valle primaria y preescolae,1
Guardería Infantil 19,1
Hospital De Cos,1
Consultorio Dental Integral,1
Estetica D' Louis,1
Hospital Dermatológico Ladislao Pascua,1
Unidad de Medicina Familiar 14 Aeropuerto,1
Hostel Mundo Joven Catedral,1
Escuela Primaria Alberto Masferrer,1
Foro al Aire Libre,1
Hospital General Xoco,1
Consultorio Dental Japones,1
Estetica Sagitarios,1
Guzina Oaxaca,1
Unidad de Medicina Familiar 140 La Teja,1
Hotel Goya,1
Escuela Primaria Centenario de la Constitución del 57,1
Fray Servando Teresa de Mier,1
Hospital Pediátrico Iztacalco,1
Consultorio Dental Maria Luisa,1
Escuela Secundaria Diurna n°135 U.R.S.S,1
Helados Santa Clara,1
Unidad de Medicina Familiar 18 Contreras,1
Hotel María Rico,1
M&E Scissors,1
Galanga Thai House,1
Hotel Argos,1
Conalep Comercio y fomento industrial,1
Escuela Tomás Alva Edison Preparatoria,1
Juan Zuazua,1
Unidad Médica Coapa,1
Hotel San Alfonso,1
Liquor Store & Water,1
Gandhi Librería Mauricio Achar,1
Imss Villalonguin,1
Cendi Mirador Gdf,1
Escuela Osteopatia de Madrid - México,1
Julián Villagrán,1
Universidad de Londres, Plantel Luis Cabrera,1
Inlaquech,1
LA OVEJA NEGRA,1
Gong Cha,1
Inbusa,1
Centro cultural Bicentenario de Juaréz,1
Escuela Primaria Profesor Rafael Hernandez Lopez,1
Jardin De Niños Naciones Unidas,1
Veganismo Lonchería vegana,1
Instituto Lowell,1
La potra salina,1
El tesoro de Sonora,1
Inea,1
Centro Cultural Nelson Mandela,1
Escuela Primaria Ramon Morales,1
JB,1
Veguísimi Vegan Restaurant,1
Integracion Dental,1
La superación del hombre por medio de la cultura,1
Embajada de Chile,1
Instituto Mexicano de Psicología,1
Centro de Desarrollo Social Mixcoac,1
Escuela Primaria Vicente Guerrero Turno Matutino,1
Jimmy Boy,1
Ventana,1
Internacional De Calzado,1
Liga De Futbol Ex Hacienda,1
Estética Samanta,1
Instituto Simón Bolívar,1
Churreria El Moro,1
Escuela Secundaria 13 Enrique Olivares,1
ISAS - Instituto San Ángel del Sur,1
Venustiano Carranza,1
Jardin De Niños Federico Froebel,1
La yeya,1
Estudio MalaMia,1
Hotel Beverly,1
Cicatriz,1
Rodeo Xochimilco,1
La Esperanza Tlatelolco,1
Victoria Venustiano Carranza,1
JARDIN DE NIÑOS JULIAN CARRILLO,1
Las Alitas,1
Escuela primaria Coronel Nicolás Romero,1
Hotel Esla,1
Cheloc,1
Rooks & Rocks,1
La Creme,1
Villa San Jacinto,1
Jardin De Niños Tierra Unida 09djn1432t Jornada Ampliada,1
Lavado de Autos FF,1
Escuela Secundaria Diurna Itzjak Rabin Cct 09des0262s Tm,1
Hotel Hacienda Coyoacán,1
Chilpa,1
Rosario Castellanos,1
La Cupcakería,1
UTOPÍA Cihuacóatl,1
Jadín de Niños,1
Lavandería "Ara",1
Escuela Secundaria Técnica #84,1
Casa de Luna Gallery,1
Centro Juridico Universitario,1
Planeta Xpress,1
La Casita,1
Tacos El Caminero,1
Jardín de Niños Ave Real,1
Lavandería Duck's Clean,1
Emporio Reforma,1
Casa Melibea,1
Cocina "El Buen Sazón de Chabelita",1
Quintonil,1
Koku,1
Tacos Xotepingo,1
Kibo Sushi,1
Lavanderia Ecoclean,1
Epi,1
Casa Teotihuacana,1
Colegio Manuel Mejia Ruiz,1
Ramen, Noddles and More,1
Kaminari Tonkotsu Ramen,1
Takeria Alvaro O.,1
Kiin Thai-Viet Eatery,1
La Fe,1
Hospital General Regional 2 IMSS,1
Casquet,1
Clínica Veterinaria de Especialidades Inguarán,1
Recicla,1
Kinderwelt Ac,1
Super Tamales Susy,1
La Casa de los Tacos,1
La Hermosa Provincia,1
Hospital Vivo Ciudad Azteca,1
Carnitas chano,1
Clínica de Especialidades "Churubusco",1
Puesto de birria,1
La casa de Toño, servicio para llevar,1
Tamales Madre,1
La casa de todos,1
La increíble,1
Hospitales Tlalpan,1
Caramelo,1
Cine Río,1
Puesto de periodicos,1
Dope. Taller de bicicletas,1
Taquerías Brasil Copacabana,1
La Bike Shop,1
La Dominica,1
Holibarbers,1
Carnicería Nayelli,1
Escuela de educación preescolar público "Concepción Sierra de Lanz Duret",1
Puesto Enfrente Coyoacan,1
Drd3d Pedregal,1
Teatro San Millán,1
La Buena Chela,1
La Dulzaina,1
Holiday Inn Buenavista,1
CECATI 176 Iztapalapa,1
El Wero,1
Salon Mezquite,1
Ebasnista,1
Tecalli Las Armas,1
Lardo,1
Hotel Hipodromo,1
Harimgak,1
Cendi Gdf 37,1
Entrada #4 para Vivero Coyoacan,1
Salon Nivel 42,1
Ecobici #237 Andrés Bello - Elliot,1
Tercer Milenio,1
Las Girafas y la Mula,1
Hotel Novit,1
Herrajes Braile,1
Centro Cultural Capilla Británica,1
Entrevero,1
Rubí,1
Dental Art,1
The Barber's Spa,1
Las mejores carnitas del rumbo,1
Hotel Pensil,1
Instituto Nacional de Psiquiatría,1
Centro Cultural Telmex,1
El pescadito de Boturini,1
Restaurant Las Américas,1
Ecobici 409 Azores - División del Norte,1
The Beer Company La Viga,1
Las Quekas,1
Hop 4,1
Instituto De Oftalmologia,1
Centro De Estimulacion Baby Boo,1
El Jaibol Insurgentes,1
Santa Hoja,1
Ecobici Benjamín Hill / Tamaulipas,1
Servicios Integrales Veterinarios,1
Las Tortugss,1
Hospital de traumatología y ortopedia No 2 "villa coapa",1
Husman Bistro,1
Centro de la cultura y las artes José Emilio Pacheco,1
El Rincon Argentino,1
Sonia,1
Ecobici Minería / José Martí,1
Sesame,1
Las Yayas,1
Hospital Elizur,1
Hyundai Patriotismo,1
Café Palacio,1
El Scary Witches,1
Secundaria Nº31,1
Ecobici Nuevo León / Aguascalientes,1
Shake Shack,1
Lava-Lo,1
Hospital Pediatrico Azcapotzalco,1
Ignacio Ramírez,1
Café Pasión Polanco,1
El 7 Rojo,1
Shoma Hand Roll,1
Ecobici Reforma / General Prim,1
Shambala,1
La Paloma Azul,1
Humbertos,1
Ito's,1
Café Ruta de la Seda,1
Ecobici Sócrates / Ejército Nacional,1
Tacos Victoria,1
Ecobici Liverpool / Génova,1
Sistemas Integrales en Computacion,1
La Parrillita,1
gorras,1
Izzzleep Hotel,1
Butcher and Sons,1
Ecobici Reforma / Varsovia,1
Taller Gastronómico Nativo,1
Ecobici López / Ayuntamiento,1
Six Real de los Reyes,1
La Poblanita de Tacubaya Suc. Patriotismo,1
Información Meteorológica,1
Jardin de niños Papalotzin,1
Capilla de Talabarteros (desaparecida),1
Ecobici Revillagigedo / Juárez,1
Taller Xilotl,1
Ecobici Joaquín Garcia Icazbalceta / Ignacio Manuel Altamirano,1
Sartenazo,1
La Providencia,1
Instituto Nacional de Bellas Artes,1
Jota Eme,1
BTM Pedre Plaza,1
El Centenario,1
Tamales,1
Ecobici Sullivan / Av. Insurgentes,1
Mexkall,1
La reina de Montevideo,1
Instituto Rosner,1
Juan Pablo II,1
Buda Panaderia,1
El Califa Taqueria,1
Tamales El Pino,1
Ecocardiologia,1
Mezcalero,1
La Taza de los Sueños,1
José Joaquín Fernández de Lizardi,1
La Grand Ocasión,1
Café del Alba,1
El Grifo,1
Tamayo,1
Edgar&Chuy,1
Mi Mercado Isabel la Católica,1
Laboratorio Médico Chopo,1
José María Chávez,1
La Herradura,1
Café del Parque,1
El Grifo Mezcal y Cerveza Artesanal,1
Taqueria Don Eraki,1
Educal Biblioteca Vasconcelos,1
Mitsubishi,1
Ecobici Echeveste / Bolívar,1
Jugos,1
